config,task_name,success_rate,avg_return,std_return,avg_episode_length,std_episode_length,avg_first_success_step,median_first_success_step,episodes,experiment,source_file
base,basketball-v3,0.96,3632.3960140306863,1659.094981439,500.0,0.0,55.3125,54.0,50,basketball_pickplace_eval,custom_basketball_pick_place\basketball_pickplace_eval_results\basketball_pickplace_eval_summary.csv
base,pick-place-v3,1.0,4554.925679277102,409.5835440010876,500.0,0.0,49.88,43.0,50,basketball_pickplace_eval,custom_basketball_pick_place\basketball_pickplace_eval_results\basketball_pickplace_eval_summary.csv
careful,basketball-v3,1.0,4573.853441851944,10.001514680462304,500.0,0.0,54.98,54.0,50,basketball_pickplace_eval,custom_basketball_pick_place\basketball_pickplace_eval_results\basketball_pickplace_eval_summary.csv
careful,pick-place-v3,1.0,4617.359016033641,127.59043408623668,500.0,0.0,42.22,41.0,50,basketball_pickplace_eval,custom_basketball_pick_place\basketball_pickplace_eval_results\basketball_pickplace_eval_summary.csv
explore,basketball-v3,0.9,1787.8143974202271,1890.0329144373004,500.0,0.0,68.11111111111111,62.0,50,basketball_pickplace_eval,custom_basketball_pick_place\basketball_pickplace_eval_results\basketball_pickplace_eval_summary.csv
explore,pick-place-v3,1.0,4125.376604978026,1016.149159351025,500.0,0.0,42.1,42.0,50,basketball_pickplace_eval,custom_basketball_pick_place\basketball_pickplace_eval_results\basketball_pickplace_eval_summary.csv
base,button-press-v3,1.0,4377.957655693707,51.10015850937104,500.0,0.0,37.66,38.0,250,button_push_eval,custom_button_push\button_push_eval_results\button_push_eval_summary.csv
base,push-v3,0.916,4229.004049289406,1244.5464266100994,500.0,0.0,49.082969432314414,43.0,250,button_push_eval,custom_button_push\button_push_eval_results\button_push_eval_summary.csv
careful,button-press-v3,1.0,4348.215786880139,94.33357329248356,500.0,0.0,37.584,38.0,250,button_push_eval,custom_button_push\button_push_eval_results\button_push_eval_summary.csv
careful,push-v3,0.964,4353.566265601818,1015.3476308042552,500.0,0.0,51.58091286307054,42.0,250,button_push_eval,custom_button_push\button_push_eval_results\button_push_eval_summary.csv
explore,button-press-v3,1.0,4469.553665413197,69.56163396857256,500.0,0.0,38.608,39.0,250,button_push_eval,custom_button_push\button_push_eval_results\button_push_eval_summary.csv
explore,push-v3,0.54,2042.1067817345213,1386.912882773944,500.0,0.0,148.67407407407407,108.0,250,button_push_eval,custom_button_push\button_push_eval_results\button_push_eval_summary.csv
base,button-press-v3,1.0,64.17457050418552,5.7581911745313015,37.38666666666666,1.6752643346225748,37.38666666666666,37.0,300,button_push_eval,custom_button_push\button_push_eval_results_100ep_3seeds\button_push_eval_summary.csv
base,push-v3,0.9733333333333334,159.32385438199543,295.18006858624307,50.66,74.60296962536462,38.34931506849315,38.0,300,button_push_eval,custom_button_push\button_push_eval_results_100ep_3seeds\button_push_eval_summary.csv
careful,button-press-v3,1.0,58.884171868516304,7.428188402017898,37.39333333333333,1.4897494420952022,37.39333333333333,37.0,300,button_push_eval,custom_button_push\button_push_eval_results_100ep_3seeds\button_push_eval_summary.csv
careful,push-v3,0.98,207.74860105387373,506.22759954855496,47.53333333333333,65.01655736292598,38.29931972789116,37.0,300,button_push_eval,custom_button_push\button_push_eval_results_100ep_3seeds\button_push_eval_summary.csv
explore,button-press-v3,1.0,75.02956611710111,6.4574141079709735,37.92,2.1312141090456675,37.92,38.0,300,button_push_eval,custom_button_push\button_push_eval_results_100ep_3seeds\button_push_eval_summary.csv
explore,push-v3,0.56,1148.2575587714623,1227.4513477994203,270.43333333333334,211.32233511854687,90.05952380952381,70.0,300,button_push_eval,custom_button_push\button_push_eval_results_100ep_3seeds\button_push_eval_summary.csv
base,pick-place-v3,1.0,61.42894805319232,18.65575733613412,40.11333333333334,4.797625759893693,40.11333333333334,40.0,300,push_pickplace,custom_push_pickplace\push_pickplace_eval_results\push_pickplace_summary.csv
base,push-v3,0.9733333333333334,153.97031671244386,99.6771231162111,55.88,82.3428609889943,43.71232876712329,38.0,300,push_pickplace,custom_push_pickplace\push_pickplace_eval_results\push_pickplace_summary.csv
careful,pick-place-v3,1.0,57.83222577646024,18.537162746457334,42.44,5.596797937856132,42.44,42.0,300,push_pickplace,custom_push_pickplace\push_pickplace_eval_results\push_pickplace_summary.csv
careful,push-v3,1.0,128.81737677204958,25.394140247447535,35.906666666666666,4.138645128608805,35.906666666666666,35.5,300,push_pickplace,custom_push_pickplace\push_pickplace_eval_results\push_pickplace_summary.csv
explore,pick-place-v3,0.9466666666666668,53.49783535971125,23.419147924596626,66.61333333333333,103.16326552315134,42.19718309859155,42.0,300,push_pickplace,custom_push_pickplace\push_pickplace_eval_results\push_pickplace_summary.csv
explore,push-v3,0.96,138.5182578204277,38.49701852791409,59.473333333333336,93.36207767279052,41.11805555555556,39.0,300,push_pickplace,custom_push_pickplace\push_pickplace_eval_results\push_pickplace_summary.csv
