split_id,split_seed,group,task_index,task_env_name,rand_vec,target_pos,obj_init_pos
2,75,train,47,pick-place-v3,"[0.08113043821512367, 0.6317331411772943, 0.02, 0.01946547830712604, 0.8646895655035727, 0.0587875641666981]","""""",""""""
2,75,train,20,pick-place-v3,"[0.0255747351891088, 0.6249543620404823, 0.02, 0.06592258599137785, 0.8054539747906942, 0.2486306567022873]","""""",""""""
2,75,train,31,pick-place-v3,"[0.054387310322424526, 0.6523194886124986, 0.02, -0.015048917215668367, 0.8323600040698554, 0.2062574021598847]","""""",""""""
2,75,train,8,pick-place-v3,"[0.08309261344926536, 0.611457494457563, 0.02, 0.08122642593628646, 0.8857300297164827, 0.23962460847109213]","""""",""""""
2,75,train,46,pick-place-v3,"[0.007915340855565, 0.64626994332093, 0.02, -0.07840197914117078, 0.8765853214970336, 0.21444698501860449]","""""",""""""
2,75,train,13,pick-place-v3,"[-0.03667932632842752, 0.663188578400612, 0.02, 0.0032611756805203534, 0.8619559172719112, 0.10520895454406341]","""""",""""""
2,75,train,6,pick-place-v3,"[-0.052386055695800154, 0.6465680615462955, 0.02, 0.00538150956524816, 0.8324332626884485, 0.07456965352692506]","""""",""""""
2,75,train,30,pick-place-v3,"[-0.03900421956535674, 0.6119832292157512, 0.02, -0.0717005762860159, 0.8783269137231084, 0.2215617074495147]","""""",""""""
2,75,train,1,pick-place-v3,"[-0.05343741746769673, 0.630860495251211, 0.02, 0.04169512580174872, 0.8953424553197576, 0.20048120181298507]","""""",""""""
2,75,train,7,pick-place-v3,"[-0.09460764548839776, 0.6965058053557116, 0.02, 0.07535177186105294, 0.8701547078843429, 0.09365672129538148]","""""",""""""
2,75,train,45,pick-place-v3,"[0.01486042932877843, 0.6267483936081341, 0.02, -0.027114300503900984, 0.8762464390744984, 0.05619919749527562]","""""",""""""
2,75,train,22,pick-place-v3,"[0.0041705726737323034, 0.6527735854074825, 0.02, -0.03600199141986053, 0.8155820145048627, 0.2708178449594403]","""""",""""""
2,75,train,43,pick-place-v3,"[-0.04036393559853311, 0.6289602462897181, 0.02, -0.03739150596251149, 0.8786978712550737, 0.28937070488561]","""""",""""""
2,75,train,9,pick-place-v3,"[-0.08297787774777671, 0.6587574009628042, 0.02, -0.09040783116393425, 0.8457759872435969, 0.07852565144232339]","""""",""""""
2,75,train,39,pick-place-v3,"[0.06942474610210583, 0.6703399734601532, 0.02, 0.004458380786831986, 0.834904883571471, 0.16965380296621746]","""""",""""""
2,75,train,23,pick-place-v3,"[-0.07743107419004946, 0.6501341050032101, 0.02, -0.08340532537135728, 0.8068168709617084, 0.16796571532830157]","""""",""""""
2,75,train,27,pick-place-v3,"[-0.04963032770545431, 0.653220867616005, 0.02, 0.027823403938948083, 0.8711213392546693, 0.1494707994831282]","""""",""""""
2,75,train,3,pick-place-v3,"[-0.0983176191272406, 0.689447180064309, 0.02, 0.08540706713613583, 0.8400487667712297, 0.16711279760164827]","""""",""""""
2,75,train,18,pick-place-v3,"[0.09940801018814788, 0.6388242369310907, 0.02, 0.045988111412528954, 0.8401459339460988, 0.08576610284326001]","""""",""""""
2,75,train,2,pick-place-v3,"[-0.06332090490697587, 0.6727997338252902, 0.02, -0.09077200428821477, 0.896958639377294, 0.14263588580015257]","""""",""""""
2,75,train,25,pick-place-v3,"[0.07029547383598111, 0.6248458852611782, 0.02, -0.011315723298370911, 0.8276614991733116, 0.08127369198078434]","""""",""""""
2,75,train,16,pick-place-v3,"[0.006445542035418209, 0.6898825060798746, 0.02, -0.0593890895913437, 0.8928977880526027, 0.281572420331491]","""""",""""""
2,75,train,44,pick-place-v3,"[-0.008268461990768944, 0.6538600353959512, 0.02, -0.060458071245053785, 0.8712703872956655, 0.17640667402870525]","""""",""""""
2,75,train,36,pick-place-v3,"[-0.05858995085872516, 0.6124120871136665, 0.02, -0.07769866464246514, 0.876557976187754, 0.12294610387118542]","""""",""""""
2,75,train,4,pick-place-v3,"[-0.05498786341337423, 0.615183554146816, 0.02, 0.0643795761085561, 0.8637947829147522, 0.29929133993396034]","""""",""""""
2,75,train,34,pick-place-v3,"[-0.08319693292029351, 0.6047352067730762, 0.02, 0.06303990916137012, 0.8213487540784113, 0.11049863350919738]","""""",""""""
2,75,train,41,pick-place-v3,"[-0.04222777471344084, 0.6208829936272069, 0.02, 0.025174461190703157, 0.8786200432374951, 0.2075224500769297]","""""",""""""
2,75,train,11,pick-place-v3,"[0.09952485738447411, 0.6927495712067236, 0.02, -0.07273047489951008, 0.8651405791408421, 0.12354957965650647]","""""",""""""
2,75,train,29,pick-place-v3,"[0.01822382131011517, 0.664142589846565, 0.02, -0.03477285661706467, 0.8097414719351782, 0.14419949258395115]","""""",""""""
2,75,train,10,pick-place-v3,"[0.027232826018434242, 0.6242986202209451, 0.02, -0.08583692417119948, 0.876694954986297, 0.15888505328577196]","""""",""""""
2,75,train,19,pick-place-v3,"[0.0634360457414943, 0.6471639874178216, 0.02, -0.09986725944447628, 0.8626126943931037, 0.06879920707812044]","""""",""""""
2,75,train,26,pick-place-v3,"[-0.011140772757503845, 0.6310820367850771, 0.02, -0.015571400019565279, 0.8783331278265393, 0.09935556138982136]","""""",""""""
2,75,train,15,pick-place-v3,"[0.07998265436657703, 0.6506869315610563, 0.02, -0.09383068377845268, 0.821056635021296, 0.13838110989919156]","""""",""""""
2,75,train,12,pick-place-v3,"[0.08702162800738697, 0.6120454615370393, 0.02, 0.045880387145123436, 0.8890504832690871, 0.05199688485529265]","""""",""""""
2,75,train,38,pick-place-v3,"[-0.09020834813818952, 0.6728666658542615, 0.02, 0.027389649111936643, 0.8038392653814934, 0.28040932689188275]","""""",""""""
2,75,train,21,pick-place-v3,"[-0.04148918814811895, 0.6056238305069609, 0.02, 0.04619995371350105, 0.8821052935710519, 0.29150263879869487]","""""",""""""
2,75,train,35,pick-place-v3,"[-0.017168316408067416, 0.645851969316232, 0.02, -0.044970513370165555, 0.8444563940447696, 0.05355223708262326]","""""",""""""
2,75,train,37,pick-place-v3,"[0.03546174427754828, 0.6752384650763379, 0.02, 0.08563529418851298, 0.8715816783331782, 0.09841610766594934]","""""",""""""
2,75,train,14,pick-place-v3,"[-0.09678649754662841, 0.6057993624623151, 0.02, -0.05921962264008789, 0.8503512648752707, 0.18999536110704807]","""""",""""""
2,75,train,33,pick-place-v3,"[-0.059728354338907, 0.6105110115025507, 0.02, 0.020495729238662677, 0.8154964081961672, 0.24379240138378222]","""""",""""""
2,75,train,40,pick-place-v3,"[0.0033442149889537642, 0.633499347455165, 0.02, 0.02507075763106198, 0.8311459320646035, 0.25205505242757137]","""""",""""""
2,75,train,49,pick-place-v3,"[-0.008638487346879303, 0.6369626672903712, 0.02, 0.02489632494380875, 0.8574872612105704, 0.1467547566533588]","""""",""""""
2,75,train,0,pick-place-v3,"[-0.049585698322152094, 0.631507669038981, 0.02, -0.02993601859058817, 0.8257242811894232, 0.05277852883081298]","""""",""""""
2,75,train,42,pick-place-v3,"[0.07678376510995427, 0.6068993762214541, 0.02, -0.08676691248006985, 0.824051327086015, 0.27932231311853367]","""""",""""""
2,75,train,17,pick-place-v3,"[0.01168052990404285, 0.6880144119151334, 0.02, 0.02095331991195712, 0.8992488809658854, 0.24322696491386864]","""""",""""""
2,75,test,48,pick-place-v3,"[-0.06375953134509907, 0.6419644844085902, 0.02, -0.039542549980255595, 0.8547082362424019, 0.11952498377298869]","""""",""""""
2,75,test,24,pick-place-v3,"[-0.039109654045201864, 0.6814791654692849, 0.02, 0.025022746049148087, 0.8952111073460568, 0.24649069194680334]","""""",""""""
2,75,test,32,pick-place-v3,"[0.0707715036114254, 0.6729952811496721, 0.02, 0.08603108633713266, 0.8648332078123903, 0.23293140996611478]","""""",""""""
2,75,test,28,pick-place-v3,"[0.025982446072137455, 0.6878729372277548, 0.02, -0.07447129942612196, 0.810343844466096, 0.13563047878569406]","""""",""""""
2,75,test,5,pick-place-v3,"[-0.06246464965115342, 0.6464005831872884, 0.02, -0.06869120643275012, 0.8168498593107892, 0.10941111342309005]","""""",""""""
